"","Ensembl","Symbols","Entrez"
"ENSMUSG00000051951 - Xkr4","ENSMUSG00000051951","Xkr4","497097"
"ENSMUSG00000025900 - Rp1","ENSMUSG00000025900","Rp1","19888"
"ENSMUSG00000025902 - Sox17","ENSMUSG00000025902","Sox17","20671"
"ENSMUSG00000102269 - Gm7357","ENSMUSG00000102269","Gm7357","664830"
"ENSMUSG00000103922 - Gm6123","ENSMUSG00000103922","Gm6123","620009"
"ENSMUSG00000033845 - Mrpl15","ENSMUSG00000033845","Mrpl15","27395"
"ENSMUSG00000025903 - Lypla1","ENSMUSG00000025903","Lypla1","18777"
"ENSMUSG00000033813 - Tcea1","ENSMUSG00000033813","Tcea1","21399"
"ENSMUSG00000002459 - Rgs20","ENSMUSG00000002459","Rgs20","58175"
"ENSMUSG00000033793 - Atp6v1h","ENSMUSG00000033793","Atp6v1h","108664"
"ENSMUSG00000033774 - Npbwr1","ENSMUSG00000033774","Npbwr1","226304"
"ENSMUSG00000025907 - Rb1cc1","ENSMUSG00000025907","Rb1cc1","12421"
"ENSMUSG00000087247 - Alkal1","ENSMUSG00000087247","Alkal1","620393"
"ENSMUSG00000033740 - St18","ENSMUSG00000033740","St18","240690"
"ENSMUSG00000051285 - Pcmtd1","ENSMUSG00000051285","Pcmtd1","319263"
"ENSMUSG00000025909 - Sntg1","ENSMUSG00000025909","Sntg1","71096"
"ENSMUSG00000061024 - Rrs1","ENSMUSG00000061024","Rrs1","59014"
"ENSMUSG00000025911 - Adhfe1","ENSMUSG00000025911","Adhfe1","76187"
"ENSMUSG00000081441 - Gm6161","ENSMUSG00000081441","Gm6161","620542"
"ENSMUSG00000025912 - Mybl1","ENSMUSG00000025912","Mybl1","17864"
"ENSMUSG00000045210 - Vcpip1","ENSMUSG00000045210","Vcpip1","70675"
"ENSMUSG00000025915 - Sgk3","ENSMUSG00000025915","Sgk3","170755"
"ENSMUSG00000046334 - Gm6195","ENSMUSG00000046334","Gm6195","108167613"
"ENSMUSG00000046101 - Mcmdc2","ENSMUSG00000046101","Mcmdc2","240697"
"ENSMUSG00000098234 - Snhg6","ENSMUSG00000098234","Snhg6","73824"
"ENSMUSG00000093178 - Snord87","ENSMUSG00000093178","Snord87","266793"
"ENSMUSG00000099032 - Tcf24","ENSMUSG00000099032","Tcf24","100039596"
"ENSMUSG00000025916 - Ppp1r42","ENSMUSG00000025916","Ppp1r42","69312"
"ENSMUSG00000025917 - Cops5","ENSMUSG00000025917","Cops5","26754"
"ENSMUSG00000056763 - Cspp1","ENSMUSG00000056763","Cspp1","211660"
"ENSMUSG00000067851 - Arfgef1","ENSMUSG00000067851","Arfgef1","211673"
"ENSMUSG00000042501 - Cpa6","ENSMUSG00000042501","Cpa6","329093"
"ENSMUSG00000081417 - Gm15603","ENSMUSG00000081417","Gm15603","102636010"
"ENSMUSG00000048960 - Prex2","ENSMUSG00000048960","Prex2","109294"
"ENSMUSG00000057715 - A830018L16Rik","ENSMUSG00000057715","A830018L16Rik","320492"
"ENSMUSG00000016918 - Sulf1","ENSMUSG00000016918","Sulf1","240725"
"ENSMUSG00000025938 - Slco5a1","ENSMUSG00000025938","Slco5a1","240726"
"ENSMUSG00000042414 - Prdm14","ENSMUSG00000042414","Prdm14","383491"
"ENSMUSG00000005886 - Ncoa2","ENSMUSG00000005886","Ncoa2","17978"
"ENSMUSG00000025935 - Tram1","ENSMUSG00000025935","Tram1","72265"
"ENSMUSG00000025937 - Lactb2","ENSMUSG00000025937","Lactb2","212442"
"ENSMUSG00000067813 - Xkr9","ENSMUSG00000067813","Xkr9","381246"
"ENSMUSG00000097711 - Gm5523","ENSMUSG00000097711","Gm5523","433273"
"ENSMUSG00000025932 - Eya1","ENSMUSG00000025932","Eya1","14048"
"ENSMUSG00000025930 - Msc","ENSMUSG00000025930","Msc","17681"
"ENSMUSG00000082193 - Rpl5-ps1","ENSMUSG00000082193","Rpl5-ps1","665407"
"ENSMUSG00000032769 - Trpa1","ENSMUSG00000032769","Trpa1","277328"
