,Sample_Name,SampleID,Genotype,Tumor_Size,Group,Class,Sex
W11,W11.LCL9041,W11,WT,Small,B,WT_Small,M
W12,W12.LCL9042,W12,WT,Small,B,WT_Small,M
W16,W16.LCL9043,W16,WT,Small,B,WT_Small,M
W17,W17.LCL9044,W17,WT,Small,B,WT_Small,M
W18,W18.LCL9045,W18,WT,Small,B,WT_Small,M
W19,W19.LCL9046,W19,WT,Small,B,WT_Small,M
W20,W20.LCL9047,W20,WT,Small,B,WT_Small,M
W1,W1.LCL9034,W1,WT,Large,A,WT_Large,M
W2,W2.LCL9035,W2,WT,Large,A,WT_Large,M
W3,W3.LCL9036,W3,WT,Large,A,WT_Large,M
W4,W4.LCL9037,W4,WT,Large,A,WT_Large,M
W6,W6.LCL9038,W6,WT,Large,A,WT_Large,M
W8,W8.LCL9039,W8,WT,Large,A,WT_Large,M
W10,W10.LCL9040,W10,WT,Large,A,WT_Large,M
K10,K10.LCL9055,K10,KO,Small,D,KO_Small,M
K12,K12.LCL9056,K12,KO,Small,D,KO_Small,M
K13,K13.LCL9057,K13,KO,Small,D,KO_Small,M
K15,K15.LCL9058,K15,KO,Small,D,KO_Small,M
K16,K16.LCL9059,K16,KO,Small,D,KO_Small,M
K17,K17.LCL9060,K17,KO,Small,D,KO_Small,M
K18,K18.LCL9061,K18,KO,Small,D,KO_Small,M
K19,K19.LCL9052,K19,KO,Large,C,KO_Large,M
K20,K20.LCL9053,K20,KO,Large,C,KO_Large,M
K21,K21.LCL9054,K21,KO,Large,C,KO_Large,M
K6,K6.LCL9048,K6,KO,Large,C,KO_Large,M
K7,K7.LCL9049,K7,KO,Large,C,KO_Large,M
K8,K8.LCL9051,K8,KO,Large,C,KO_Large,M
K9,K9.LCL9050,K9,KO,Large,C,KO_Large,M
